Mês/Ano,Região,Estado,Produto,Quantidade Processada (t)
11/2024,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"25163,890"
11/2024,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"3130461,823"
11/2024,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"426965,797"
11/2024,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"2636511,257"
11/2024,NORDESTE,Alagoas,CANA DE AÇÚCAR,"244920,326"
11/2024,NORDESTE,Bahia,CANA DE AÇÚCAR,"332712,720"
11/2024,NORDESTE,Maranhão,CANA DE AÇÚCAR,"174047,720"
11/2024,NORDESTE,Paraíba,CANA DE AÇÚCAR,"680233,132"
11/2024,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"237807,478"
11/2024,NORDESTE,Piauí,CANA DE AÇÚCAR,"753,783"
11/2024,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"214954,766"
11/2024,NORDESTE,Sergipe,CANA DE AÇÚCAR,"85907,177"
11/2024,NORTE,Amazonas,CANA DE AÇÚCAR,"18967,360"
11/2024,NORTE,Pará,CANA DE AÇÚCAR,"101854,409"
11/2024,NORTE,Tocantins,CANA DE AÇÚCAR,"189592,620"
11/2024,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"43323,176"
11/2024,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"2176658,006"
11/2024,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"756,020"
11/2024,SUDESTE,São Paulo,CANA DE AÇÚCAR,"9873223,346"
11/2024,SUL,Paraná,CANA DE AÇÚCAR,"448379,030"
11/2024,CENTRO OESTE,Goiás,MELAÇO,"25074,621"
11/2024,CENTRO OESTE,Mato Grosso,MELAÇO,"56209,200"
11/2024,CENTRO OESTE,Mato Grosso do Sul,MELAÇO,"20371,699"
11/2024,NORDESTE,Alagoas,MELAÇO,"168964,588"
11/2024,NORDESTE,Bahia,MELAÇO,"17287,916"
11/2024,NORDESTE,Maranhão,MELAÇO,"3713,000"
11/2024,NORDESTE,Paraíba,MELAÇO,"14143,753"
11/2024,NORDESTE,Pernambuco,MELAÇO,"99718,385"
11/2024,NORDESTE,Piauí,MELAÇO,"5419,439"
11/2024,NORDESTE,Rio Grande do Norte,MELAÇO,"8547,716"
11/2024,NORDESTE,Sergipe,MELAÇO,"16263,242"
11/2024,NORTE,Amazonas,MELAÇO,"3348,040"
11/2024,SUDESTE,Minas Gerais,MELAÇO,"184291,947"
11/2024,SUDESTE,São Paulo,MELAÇO,"389046,173"
11/2024,SUL,Paraná,MELAÇO,"6678,937"
11/2024,CENTRO OESTE,Goiás,MILHO,"161730,019"
11/2024,CENTRO OESTE,Mato Grosso,MILHO,"1106448,796"
11/2024,CENTRO OESTE,Mato Grosso do Sul,MILHO,"329066,729"
11/2024,SUDESTE,São Paulo,MILHO,"2135,690"
11/2024,SUL,Paraná,MILHO,"8543,123"
