Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³),Produção Etanol Anidro (m³)
11/2024,CENTRO OESTE,Goiás,262397,84200
11/2024,CENTRO OESTE,Mato Grosso,356130,183668
11/2024,CENTRO OESTE,Mato Grosso do Sul,228501,121155
11/2024,NORDESTE,Alagoas,41219,33453
11/2024,NORDESTE,Bahia,24143,11002
11/2024,NORDESTE,Maranhão,1726,13166
11/2024,NORDESTE,Paraíba,24493,30465
11/2024,NORDESTE,Pernambuco,39005,16900
11/2024,NORDESTE,Piauí,1991,108
11/2024,NORDESTE,Rio Grande do Norte,23192,146
11/2024,NORDESTE,Sergipe,8916,3294
11/2024,NORTE,Amazonas,2321,
11/2024,NORTE,Pará,4187,4758
11/2024,NORTE,Tocantins,7675,5030
11/2024,SUDESTE,Espírito Santo,348,3592
11/2024,SUDESTE,Minas Gerais,129900,80897
11/2024,SUDESTE,Rio de Janeiro,155,
11/2024,SUDESTE,São Paulo,530139,258371
11/2024,SUL,Paraná,29557,14502
11/2024,SUL,Rio Grande do Sul,0,
10/2024,CENTRO OESTE,Goiás,427136,152292
10/2024,CENTRO OESTE,Mato Grosso,436541,218107
10/2024,CENTRO OESTE,Mato Grosso do Sul,291083,113328
10/2024,NORDESTE,Alagoas,44790,29440
10/2024,NORDESTE,Bahia,28603,16205
10/2024,NORDESTE,Maranhão,4458,19032
10/2024,NORDESTE,Paraíba,36088,21135
10/2024,NORDESTE,Pernambuco,41103,6764
10/2024,NORDESTE,Piauí,4163,2827
10/2024,NORDESTE,Rio Grande do Norte,23331,3712
10/2024,NORDESTE,Sergipe,10100,2939
10/2024,NORTE,Amazonas,2127,
10/2024,NORTE,Pará,2124,7486
10/2024,NORTE,Tocantins,9370,11590
10/2024,SUDESTE,Espírito Santo,3853,5918
10/2024,SUDESTE,Minas Gerais,239894,128430
10/2024,SUDESTE,Rio de Janeiro,7844,
10/2024,SUDESTE,São Paulo,961952,591236
10/2024,SUL,Paraná,58642,62560
10/2024,SUL,Rio Grande do Sul,1,
09/2024,CENTRO OESTE,Goiás,636887,197769
09/2024,CENTRO OESTE,Mato Grosso,456151,224234
09/2024,CENTRO OESTE,Mato Grosso do Sul,301614,120761
09/2024,NORDESTE,Alagoas,36138,11887
09/2024,NORDESTE,Bahia,39594,16022
09/2024,NORDESTE,Maranhão,7571,24629
09/2024,NORDESTE,Paraíba,40768,19404
09/2024,NORDESTE,Pernambuco,37548,1163
09/2024,NORDESTE,Piauí,2520,4404
09/2024,NORDESTE,Rio Grande do Norte,19457,3312
09/2024,NORDESTE,Sergipe,4468,
09/2024,NORTE,Amazonas,1842,
09/2024,NORTE,Pará,1837,7419
09/2024,NORTE,Tocantins,10929,20828
09/2024,SUDESTE,Espírito Santo,3229,10813
09/2024,SUDESTE,Minas Gerais,344279,177193
09/2024,SUDESTE,Rio de Janeiro,17556,
09/2024,SUDESTE,São Paulo,1288024,778122
09/2024,SUL,Paraná,67808,75073
09/2024,SUL,Rio Grande do Sul,3,
08/2024,CENTRO OESTE,Goiás,667971,211739
08/2024,CENTRO OESTE,Mato Grosso,453325,239707
08/2024,CENTRO OESTE,Mato Grosso do Sul,362916,139339
08/2024,NORDESTE,Alagoas,901,
08/2024,NORDESTE,Bahia,37855,11384
08/2024,NORDESTE,Maranhão,8342,26787
08/2024,NORDESTE,Paraíba,29691,15203
08/2024,NORDESTE,Pernambuco,9390,
08/2024,NORDESTE,Piauí,5123,1377
08/2024,NORDESTE,Rio Grande do Norte,8704,
08/2024,NORTE,Amazonas,936,
08/2024,NORTE,Pará,1900,6996
08/2024,NORTE,Tocantins,18725,12413
08/2024,SUDESTE,Espírito Santo,4981,11167
08/2024,SUDESTE,Minas Gerais,347605,179897
08/2024,SUDESTE,Rio de Janeiro,25387,
08/2024,SUDESTE,São Paulo,1223075,793088
08/2024,SUL,Paraná,72085,93452
08/2024,SUL,Rio Grande do Sul,2,
07/2024,CENTRO OESTE,Goiás,650036,211844
07/2024,CENTRO OESTE,Mato Grosso,446125,222436
07/2024,CENTRO OESTE,Mato Grosso do Sul,317508,137649
07/2024,NORDESTE,Bahia,39804,14723
07/2024,NORDESTE,Maranhão,4046,28312
07/2024,NORDESTE,Paraíba,5217,
07/2024,NORDESTE,Piauí,8017,
07/2024,NORDESTE,Rio Grande do Norte,95,
07/2024,NORTE,Pará,2788,5468
07/2024,NORTE,Tocantins,11478,21101
07/2024,SUDESTE,Espírito Santo,3428,9561
07/2024,SUDESTE,Minas Gerais,340811,191153
07/2024,SUDESTE,Rio de Janeiro,27151,
07/2024,SUDESTE,São Paulo,1133345,894196
07/2024,SUL,Paraná,75090,78871
07/2024,SUL,Rio Grande do Sul,4,
06/2024,CENTRO OESTE,Goiás,601913,192641
06/2024,CENTRO OESTE,Mato Grosso,405232,201175
06/2024,CENTRO OESTE,Mato Grosso do Sul,352175,164943
06/2024,NORDESTE,Bahia,30122,12935
06/2024,NORDESTE,Maranhão,3561,20466
06/2024,NORDESTE,Piauí,1127,
06/2024,NORTE,Pará,1017,5274
06/2024,NORTE,Tocantins,8270,12675
06/2024,SUDESTE,Espírito Santo,558,11403
06/2024,SUDESTE,Minas Gerais,289704,199379
06/2024,SUDESTE,Rio de Janeiro,21183,
06/2024,SUDESTE,São Paulo,1113653,891290
06/2024,SUL,Paraná,81640,102766
06/2024,SUL,Rio Grande do Sul,1,
05/2024,CENTRO OESTE,Goiás,545869,160274
05/2024,CENTRO OESTE,Mato Grosso,378314,196180
05/2024,CENTRO OESTE,Mato Grosso do Sul,315701,123516
05/2024,NORDESTE,Bahia,32189,6439
05/2024,NORDESTE,Maranhão,78,1441
05/2024,NORDESTE,Paraíba,5585,
05/2024,NORDESTE,Pernambuco,,913
05/2024,NORTE,Pará,1043,59
05/2024,NORTE,Tocantins,11850,10506
05/2024,SUDESTE,Espírito Santo,1697,9230
05/2024,SUDESTE,Minas Gerais,255497,173870
05/2024,SUDESTE,Rio de Janeiro,6594,
05/2024,SUDESTE,São Paulo,1038979,796058
05/2024,SUL,Paraná,74024,81457
04/2024,CENTRO OESTE,Goiás,217488,48314
04/2024,CENTRO OESTE,Mato Grosso,315300,107082
04/2024,CENTRO OESTE,Mato Grosso do Sul,257617,48233
04/2024,NORDESTE,Alagoas,5466,19
04/2024,NORDESTE,Bahia,9474,777
04/2024,NORDESTE,Paraíba,10756,1242
04/2024,NORDESTE,Pernambuco,11924,2265
04/2024,NORTE,Tocantins,12582,
04/2024,SUDESTE,Espírito Santo,648,
04/2024,SUDESTE,Minas Gerais,173781,49860
04/2024,SUDESTE,São Paulo,711269,310198
04/2024,SUL,Paraná,70187,51333
03/2024,CENTRO OESTE,Goiás,54062,4492
03/2024,CENTRO OESTE,Mato Grosso,316941,95326
03/2024,CENTRO OESTE,Mato Grosso do Sul,137632,49836
03/2024,NORDESTE,Alagoas,22197,21226
03/2024,NORDESTE,Paraíba,7392,10068
03/2024,NORDESTE,Pernambuco,21109,3936
03/2024,NORDESTE,Rio Grande do Norte,4915,
03/2024,NORDESTE,Sergipe,5137,845
03/2024,SUDESTE,Minas Gerais,12874,1042
03/2024,SUDESTE,São Paulo,112962,56682
03/2024,SUL,Paraná,33056,4948
03/2024,SUL,Rio Grande do Sul,1,
02/2024,CENTRO OESTE,Goiás,45047,15866
02/2024,CENTRO OESTE,Mato Grosso,269709,117749
02/2024,CENTRO OESTE,Mato Grosso do Sul,70727,48473
02/2024,NORDESTE,Alagoas,33555,31920
02/2024,NORDESTE,Paraíba,8493,12682
02/2024,NORDESTE,Pernambuco,22574,9475
02/2024,NORDESTE,Rio Grande do Norte,14035,607
02/2024,NORDESTE,Sergipe,6825,2851
02/2024,SUDESTE,Minas Gerais,934,
02/2024,SUDESTE,São Paulo,17071,14556
02/2024,SUL,Rio Grande do Sul,1,
01/2024,CENTRO OESTE,Goiás,50261,13162
01/2024,CENTRO OESTE,Mato Grosso,261626,146624
01/2024,CENTRO OESTE,Mato Grosso do Sul,62710,65062
01/2024,NORDESTE,Alagoas,43526,34903
01/2024,NORDESTE,Paraíba,16255,29393
01/2024,NORDESTE,Pernambuco,18586,18982
01/2024,NORDESTE,Rio Grande do Norte,13236,2387
01/2024,NORDESTE,Sergipe,10769,3205
01/2024,NORTE,Pará,,3351
01/2024,SUDESTE,Minas Gerais,1325,
01/2024,SUDESTE,São Paulo,22099,27019
01/2024,SUL,Paraná,100,3840
01/2024,SUL,Rio Grande do Sul,1,
12/2023,CENTRO OESTE,Goiás,146132,44240
12/2023,CENTRO OESTE,Mato Grosso,330355,81197
12/2023,CENTRO OESTE,Mato Grosso do Sul,134471,81209
12/2023,NORDESTE,Alagoas,40226,40121
12/2023,NORDESTE,Bahia,5990,2440
12/2023,NORDESTE,Paraíba,26393,27642
12/2023,NORDESTE,Pernambuco,24624,22868
12/2023,NORDESTE,Rio Grande do Norte,13113,5709
12/2023,NORDESTE,Sergipe,9909,3698
12/2023,NORTE,Pará,,6776
12/2023,SUDESTE,Espírito Santo,3,2437
12/2023,SUDESTE,Minas Gerais,63976,23715
12/2023,SUDESTE,São Paulo,426861,223407
12/2023,SUL,Paraná,24713,13047
12/2023,SUL,Rio Grande do Sul,1,
11/2023,CENTRO OESTE,Goiás,306873,96747
11/2023,CENTRO OESTE,Mato Grosso,305546,123933
11/2023,CENTRO OESTE,Mato Grosso do Sul,220769,93924
11/2023,NORDESTE,Alagoas,41025,33998
